provider_name,provider_state,provider_zip_code,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,provider_type,provider_resides_in_hospital,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,health_inspection_rating,qm_rating,staffing_rating,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,registered_nurse_hours_per_resident_per_day_on_the_weekend,number_of_administrators_who_have_left_the_nursing_home,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,number_of_payment_denials,total_number_of_penalties
AVANTARA MOUNTAIN VIEW,SD,57702,For profit - Corporation,101,75.7,Medicare and Medicaid,N,N,,N,N,Both,Yes,2,2,3,3,2.51128,1.3231,3.83438,0.27812,3,0,0,1,3,0,3
ABERDEEN HEALTH AND REHAB,SD,57401,For profit - Limited Liability company,78,68.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,4,2.42206,1.07674,3.49881,0.4866,,0,6,4,3,0,3
AVERA MOTHER JOSEPH MANOR RETIREMENT COMMUNITY,SD,57401,Non profit - Corporation,73,72.3,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,5,4,3,5,2.31749,1.40992,3.72741,0.8174,0,0,0,1,1,0,1
SPEARFISH CANYON HEALTHCARE,SD,57783,For profit - Limited Liability company,68,75.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,2,2.39438,0.98297,3.37735,0.25623,1,0,0,1,3,0,3
GOOD SAMARITAN SOCIETY LUTHER MANOR,SD,57105,Non profit - Corporation,92,74.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,4,2.46642,1.46752,3.93394,0.88034,1,0,0,1,2,0,2
GOOD SAMARITAN SOCIETY SIOUX FALLS VILLAGE,SD,57106,Non profit - Corporation,177,156.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,4,2.49978,1.36287,3.86265,0.56727,1,0,0,2,3,0,3
GOOD SAMARITAN SOCIETY SIOUX FALLS CENTER,SD,57104,Non profit - Corporation,98,68.6,Medicare and Medicaid,N,N,SFF,N,N,Resident,Yes,,,,,1.9912,1.50531,3.49651,0.54881,0,0,2,4,6,1,7
AVANTARA PIERRE,SD,57501,For profit - Limited Liability company,72,51.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,4,2,1.74508,1.19477,2.93985,0.45434,1,0,1,1,6,0,6
AVANTARA GROTON,SD,57445,For profit - Limited Liability company,33,31.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,1,3,1.97776,1.29112,3.26889,0.33252,1,2,1,0,5,0,5
AVANTARA ARLINGTON,SD,57212,For profit - Limited Liability company,37,30.9,Medicare and Medicaid,N,N,,N,N,None,Yes,2,2,3,2,2.00834,1.29514,3.30348,0.57969,1,0,1,0,2,0,2
AVANTARA ARROWHEAD,SD,57702,For profit - Limited Liability company,54,55.1,Medicare and Medicaid,N,N,,N,N,Both,Yes,1,1,1,2,2.10752,1.34406,3.45159,0.55908,2,1,3,1,3,0,3
AVANTARA REDFIELD,SD,57469,For profit - Limited Liability company,46,40.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,2.11802,1.17329,3.29132,0.24834,1,0,4,0,1,0,1
WINNER REGIONAL HEALTHCARE CENTER,SD,57580,For profit - Individual,80,33.5,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,2,2,4,4,3.52176,1.05288,4.57464,0.80569,,0,1,1,5,1,6
AVANTARA CLARK CITY,SD,57225,For profit - Limited Liability company,29,28.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,2,1,1.74736,1.2949,3.04226,0.36404,2,0,1,1,2,0,2
AVANTARA LAKE NORDEN,SD,57248,For profit - Limited Liability company,48,43.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,4,2.05466,1.16219,3.21686,0.51404,1,0,0,0,0,0,0
AVANTARA SAINT CLOUD,SD,57701,For profit - Limited Liability company,78,63.1,Medicare and Medicaid,N,N,,N,N,None,Yes,1,1,4,2,2.03466,0.91097,2.94563,0.44893,2,0,0,4,4,1,5
AVERA BRADY HEALTH AND REHAB,SD,57301,Non profit - Church related,61,62.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,5,2.64649,1.54168,4.18818,0.95574,0,0,0,0,0,0,0
"ALCESTER CARE AND REHAB CENTER, INC",SD,57001,For profit - Corporation,41,35,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,1,2,2.03155,0.98329,3.01484,0.31796,,1,0,0,2,0,2
AVANTARA NORTH,SD,57701,For profit - Limited Liability company,74,58.3,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,3,3,2,2,2.02331,1.13945,3.16277,0.35639,1,0,3,1,1,0,1
PRAIRIE ESTATES CARE CENTER,SD,57025,For profit - Corporation,13,19,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,2.02389,1.7122,3.73609,1.15288,1,0,0,0,0,0,0
AVERA PRINCE OF PEACE,SD,57103,Non profit - Church related,96,97.5,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,3,3,4,4,2.81171,1.87373,4.68544,1.14867,2,0,0,1,2,0,2
AVANTARA WATERTOWN,SD,57201,For profit - Limited Liability company,51,47.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,2.05563,1.38862,3.44425,0.62772,0,0,0,0,0,0,0
TIESZEN MEMORIAL HOME,SD,57043,Non profit - Corporation,51,55.3,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,4,4,2.54655,1.00616,3.5527,0.4665,0,0,0,0,0,0,0
AVERA SISTER JAMES CARE CENTER,SD,57078,Non profit - Corporation,187,171.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,4,2.22372,1.08256,3.30628,0.49578,0,0,0,0,0,0,0
BETHESDA HOME,SD,57274,Non profit - Church related,50,46,Medicare and Medicaid,N,N,,N,N,Both,Yes,5,4,4,5,2.81066,1.2817,4.09236,0.42617,1,0,0,0,0,0,0
SEVEN SISTERS LIVING CENTER,SD,57747,Non profit - Other,50,55.3,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,1,2,4,1,0.05104,0,0.05104,0,,0,0,3,2,0,2
BETHESDA HOME OF ABERDEEN,SD,57401,Non profit - Church related,79,81.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,2.2278,1.41142,3.63923,0.2872,,0,0,0,0,0,0
GOOD SAMARITAN SOCIETY DE SMET,SD,57231,Non profit - Corporation,40,39.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,3,1.8543,1.45031,3.30461,0.42572,0,0,0,0,0,0,0
GOOD SAMARITAN SOCIETY HOWARD,SD,57349,Non profit - Corporation,47,35.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,4,4,2.46543,1.0778,3.54323,0.63373,0,0,0,0,0,0,0
BETHEL LUTHERAN HOME,SD,57042,Non profit - Corporation,59,52.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,1,4,2.46773,1.43972,3.90745,0.75708,1,0,0,0,2,0,2
AVERA EUREKA HEALTH CARE CENTER,SD,57437,Non profit - Corporation,56,45.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,4,2.18538,1.15628,3.34166,0.60168,0,0,0,1,2,0,2
UNITED LIVING COMMUNITY,SD,57006,Non profit - Corporation,49,50.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,4,2.71395,1.3526,4.06655,0.52075,0,0,0,0,1,0,1
BETHESDA OF BERESFORD,SD,57004,Non profit - Church related,36,36.7,Medicare and Medicaid,N,N,,N,N,None,Yes,2,2,4,2,2.06763,0.77924,2.84687,0.58474,0,0,2,0,1,0,1
THE NEIGHBORHOODS AT BROOKVIEW,SD,57006,Government - City/county,79,72.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,4,2.24885,1.03517,3.28401,0.60158,,0,0,0,1,0,1
FAULKTON SENIOR LIVING,SD,57438,For profit - Corporation,34,38.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,3,2.05437,1.12941,3.18378,0.40851,,0,0,1,0,0,0
RIVERVIEW HEALTHCARE CENTER,SD,57028,For profit - Limited Liability company,63,40,Medicare and Medicaid,N,N,SFF Candidate,Y,N,Resident,Yes,1,1,2,3,2.52938,1.05957,3.58895,0.64561,0,0,0,1,1,0,1
GOOD SAMARITAN SOCIETY CANISTOTA,SD,57012,Non profit - Corporation,48,49.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,3,2.09607,0.93439,3.03046,0.33794,1,0,0,1,1,0,1
CENTERVILLE CARE AND REHAB CENTER INC,SD,57014,For profit - Corporation,38,38.6,Medicare and Medicaid,N,N,SFF Candidate,N,N,Resident,Yes,1,1,2,1,,,,,,0,2,1,3,0,3
GOOD SAMARITAN SOCIETY CORSICA,SD,57328,Non profit - Corporation,37,34.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,4,2.07848,1.42371,3.50219,0.54585,0,0,0,0,1,0,1
FIVE COUNTIES NURSING HOME,SD,57638,Non profit - Other,42,38,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,2,1.94671,1.02358,2.97029,0.84266,,0,1,1,1,0,1
HIGHMORE HEALTH,SD,57345,For profit - Individual,37,38.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,2,1.96344,0.93688,2.90031,0.49944,,0,0,1,3,0,3
SUN DIAL MANOR,SD,57219,Non profit - Corporation,37,29.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,3,3,2.03899,1.13016,3.16915,0.33444,2,0,1,0,1,0,1
WAKONDA HERITAGE MANOR,SD,57073,Non profit - Corporation,35,30.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,3,5,2.35116,1.19625,3.54741,0.7121,1,0,0,0,1,0,1
GOOD SAMARITAN SOCIETY SCOTLAND,SD,57059,Non profit - Corporation,37,35,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,4,2.18721,1.14224,3.32945,0.52067,0,0,0,0,0,0,0
BETHANY HOME SIOUX FALLS,SD,57105,Non profit - Corporation,42,43.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,3,3,2.22233,1.35058,3.57292,0.36749,0,0,0,0,1,0,1
LAKE ANDES SENIOR LIVING,SD,57356,For profit - Corporation,28,32.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,4,2.1314,1.05128,3.18267,0.4161,,0,0,0,0,0,0
GOOD SAMARITAN SOCIETY TYNDALL,SD,57066,Non profit - Corporation,54,48.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,2.10882,1.01065,3.11948,0.38464,0,0,0,1,2,0,2
ESTELLINE NURSING AND CARE CENTER,SD,57234,Government - City,60,52.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,4,2.11544,1.12186,3.2373,0.64171,1,0,0,1,1,0,1
SUNSET MANOR AVERA HEALTH,SD,57037,Non profit - Other,54,51.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,4,3.27903,1.44332,4.72236,0.34315,0,0,0,0,0,0,0
GOOD SAMARITAN SOCIETY CANTON,SD,57013,Non profit - Corporation,56,52.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,1.96357,1.05144,3.01501,0.27541,1,2,0,1,2,0,2
MONUMENT HEALTH STURGIS CARE CENTER,SD,57785,Non profit - Corporation,84,52.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,3,3,2.87209,1.37097,4.24306,0.39356,,0,0,1,2,0,2
GOOD SAMARITAN SOCIETY NEW UNDERWOOD,SD,57761,Non profit - Corporation,41,33.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,2,3,1.71351,1.34035,3.05386,0.549,0,0,0,1,1,0,1
WHEATCREST HILLS HEALTHCARE CENTER,SD,57430,For profit - Corporation,34,34.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,3,2.00614,1.01503,3.02117,0.34198,0,0,0,0,0,0,0
GOOD SAMARITAN SOCIETY WAGNER,SD,57380,Non profit - Corporation,44,41.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,3,5,2.35562,1.16914,3.52476,0.68639,0,0,0,0,0,0,0
BOWDLE NURSING HOME,SD,57428,Government - City,32,29.6,Medicare and Medicaid,N,N,,N,N,None,Yes,4,3,5,4,2.52141,1.28977,3.81118,0.46738,,0,0,1,1,0,1
FIRESTEEL HEALTHCARE CENTER,SD,57301,For profit - Corporation,76,82.2,Medicare and Medicaid,N,N,SFF Candidate,N,N,Resident,Yes,2,1,5,1,2.07669,0.89628,2.97297,0.3592,,3,2,3,3,1,4
FOUNTAIN SPRINGS HEALTHCARE CENTER,SD,57702,For profit - Limited Liability company,71,73.3,Medicare and Medicaid,N,N,,N,N,None,Yes,2,2,4,2,1.80752,1.53601,3.34353,0.25946,,0,2,2,3,0,3
OAKVIEW TERRACE,SD,57029,Non profit - Corporation,37,36.8,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,3,2,3,5,3.44856,1.05494,4.5035,0.52781,,0,0,0,1,0,1
MENNO-OLIVET CARE CENTER,SD,57045,Non profit - Corporation,27,26.7,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,1,5,4,2.77885,1.17991,3.95876,0.58683,,0,0,0,1,0,1
DIAMOND CARE CENTER,SD,57319,For profit - Corporation,28,30.7,Medicare and Medicaid,N,N,,N,N,None,Yes,1,2,4,1,,,,,,0,0,1,3,0,3
PALISADE HEALTHCARE CENTER,SD,57030,For profit - Corporation,55,44.8,Medicare and Medicaid,N,N,,Y,N,Resident,Yes,1,1,3,2,1.75633,1.11198,2.86831,0.39023,,0,2,1,4,0,4
PRAIRIE VIEW HEALTHCARE CENTER,SD,57385,For profit - Limited Liability company,35,35.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,2,2.15685,1.3397,3.49655,0.58351,0,0,0,0,0,0,0
WILMOT CARE CENTER INC,SD,57279,Non profit - Corporation,22,23.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,5,1,2.00915,1.25638,3.26553,0.36299,0,0,1,1,1,0,1
PIONEER MEMORIAL NURSING HOME,SD,57070,Non profit - Corporation,43,40.7,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,3,3,2,4,2.72462,0.99951,3.72413,0.45208,,0,0,0,0,0,0
ST WILLIAM'S CARE CENTER,SD,57252,Non profit - Other,48,47.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,2,3,1,2.15998,0.63359,2.79356,0.14676,,0,0,0,1,0,1
"WALWORTH COUNTY CARE CENTER, INC",SD,57472,Non profit - Corporation,44,44.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,2.20089,1.07426,3.27515,0.23014,,0,0,0,2,0,2
GOOD SAMARITAN SOCIETY MILLER,SD,57362,Non profit - Corporation,51,39,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,2,2.5324,0.75329,3.2857,0.36152,1,0,0,0,1,0,1
STRAND-KJORSVIG COMMUNITY REST HOME,SD,57261,Non profit - Corporation,35,27.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,2,1,1.96183,1.23624,3.19807,0.22762,0,0,0,3,6,0,6
DOW RUMMEL VILLAGE,SD,57104,Non profit - Corporation,44,46.3,Medicare and Medicaid,N,Y,,N,N,Both,Yes,5,3,5,5,3.25237,1.45214,4.70451,0.58116,,0,0,2,2,0,2
DELLS NURSING AND REHAB CENTER INC,SD,57022,For profit - Corporation,42,43.5,Medicare and Medicaid,N,N,SFF Candidate,Y,N,Resident,Yes,1,1,1,1,,,,,,0,1,1,1,0,1
BETHANY HOME - BRANDON,SD,57005,Non profit - Corporation,53,55.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,2,4,3.01903,1.27169,4.29072,0.35505,0,2,0,0,1,0,1
AURORA BRULE NURSING HOME INC,SD,57383,For profit - Corporation,34,36.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,2,2.00267,0.75366,2.75633,0.32169,,0,2,0,2,0,2
WESKOTA MANOR INC,SD,57382,Non profit - Corporation,40,33.4,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,2,3,2.18244,1.10906,3.2915,0.43924,0,0,0,0,0,0,0
GOOD SAMARITAN SOCIETY - ST MARTIN VILLAGE,SD,57702,Non profit - Corporation,60,57.2,Medicare and Medicaid,N,Y,,N,N,Resident,Yes,3,3,4,3,1.90404,1.6543,3.55834,0.67866,,0,0,1,2,0,2
BENNETT COUNTY HOSPITAL AND NURSING HOME,SD,57551,Non profit - Corporation,27,30,Medicare and Medicaid,Y,N,,N,N,Both,Yes,1,1,2,4,2.22242,1.29083,3.51326,0.71572,,1,5,1,4,0,4
SCOTCHMAN LIVING CENTER,SD,57567,Non profit - Corporation,30,29.2,Medicaid,Y,N,,N,N,Resident,Yes,4,5,1,5,2.83364,1.73344,4.56708,0.77796,,0,0,0,0,0,0
SD HUMAN SERVICES CENTER - GERIATRIC PROGRAM,SD,57078,Government - State,69,42.1,Medicaid,Y,N,,N,N,Resident,Yes,3,4,4,1,3.80681,1.68008,5.48689,1.10356,,0,0,0,0,1,1
PLATTE CARE CENTER,SD,57369,Non profit - Corporation,48,27.2,Medicaid,Y,N,,N,N,Resident,Yes,5,5,3,4,2.44917,1.3431,3.79226,0.59283,,0,0,0,0,0,0
SANFORD CHAMBERLAIN CARE CENTER,SD,57325,Non profit - Corporation,44,42.4,Medicaid,N,N,,N,N,Both,Yes,2,2,2,4,2.49302,1.08173,3.57475,0.58805,0,0,0,0,1,0,1
WHITE RIVER HEALTH CARE CENTER,SD,57579,Non profit - Other,52,34.7,Medicaid,N,N,,N,N,Resident,Yes,5,5,3,4,2.25013,1.62057,3.8707,0.31833,,0,0,0,3,0,3
SANFORD CARE CENTER VERMILLION,SD,57069,Non profit - Corporation,55,57.5,Medicaid,Y,N,,N,N,Resident,Yes,2,2,4,4,2.51116,0.83765,3.3488,0.44903,,0,2,0,0,0,0
KADOKA NURSING HOME,SD,57543,Non profit - Corporation,30,29.4,Medicaid,N,N,,N,N,Resident,Yes,5,5,4,4,2.30354,1.2567,3.56023,0.43261,0,0,0,0,1,0,1
AVERA OAHE MANOR,SD,57442,Non profit - Corporation,53,32.7,Medicaid,N,N,,N,N,Resident,Yes,4,4,3,4,2.44465,1.29774,3.74239,0.55253,1,0,0,0,0,0,0
"EASTERN STAR HOME OF SOUTH DAKOTA, INC",SD,57469,Non profit - Corporation,28,29.3,Medicaid,N,N,,N,N,Resident,Yes,2,3,1,4,2.93954,1.20772,4.14726,0.44882,0,0,0,0,1,0,1
MICHAEL J FITZMAURICE SOUTH DAKOTA VETERANS HOME,SD,57747,Government - State,71,59.4,Medicaid,N,N,,N,N,Resident,Yes,4,4,3,4,4.20168,1.66923,5.87091,0.65915,2,0,0,0,0,0,0
AVERA BORMANN MANOR,SD,57366,Non profit - Corporation,44,44,Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,2.34516,1.14046,3.48563,0.51765,,0,0,0,0,0,0
MEDICINE WHEEL VILLAGE,SD,57625,Non profit - Other,22,25.6,Medicaid,N,N,,N,N,Resident,Yes,4,2,5,5,2.53654,1.78421,4.32074,0.58145,,0,0,2,0,0,0
"NHC HEALTHCARE, OAKWOOD",TN,37091,For profit - Corporation,60,54.9,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,3,2.04746,1.61051,3.65797,0.30875,0,0,0,0,1,0,1
"NHC HEALTHCARE, DICKSON",TN,37055,For profit - Corporation,191,174.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,5,4,2.45191,1.65881,4.11071,0.31116,1,0,0,0,0,0,0
SISKIN SUBACUTE WEST,TN,37403,Non profit - Corporation,108,36.1,Medicare and Medicaid,Y,N,,N,Y,Resident,Yes,5,5,5,5,2.69332,3.26038,5.95369,1.17047,0,0,0,0,0,0,0
"NHC HEALTHCARE, CHATTANOOGA",TN,37404,For profit - Corporation,200,175,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,3,2.22837,1.50516,3.73353,0.32705,0,0,0,0,0,0,0
ASBURY PLACE AT MARYVILLE,TN,37804,Non profit - Corporation,181,85.9,Medicare and Medicaid,N,Y,SFF Candidate,N,N,Resident,Yes,1,1,4,3,2.51464,1.78612,4.30076,0.36153,3,5,7,6,2,1,3
"NHC HEALTHCARE, JOHNSON CITY",TN,37601,For profit - Corporation,167,144.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,5,5,2,2.33861,1.44557,3.78418,0.2804,0,0,0,0,0,0,0
NHC-MAURY REGIONAL TRANSITIONAL CARE CENTER,TN,38401,For profit - Corporation,112,96.8,Medicare,N,N,,N,Y,Resident,Yes,5,4,5,4,2.23901,2.23748,4.47649,0.27805,0,0,4,0,3,0,3
"NHC HEALTHCARE, MILAN",TN,38358,For profit - Limited Liability company,117,94.5,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,2.25038,1.67073,3.92111,0.35563,0,0,0,0,0,0,0
CLAIBORNE HEALTH AND REHABILITATION CENTER,TN,37879,Non profit - Corporation,100,63.5,Medicare and Medicaid,N,N,,N,Y,Both,Yes,5,5,4,5,2.01803,2.15505,4.17308,0.68476,0,0,0,0,0,0,0
SIGNATURE HEALTHCARE OF MADISON,TN,37115,For profit - Corporation,102,41.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,1,1,3,1,2.29588,1.87774,4.17363,0.3823,2,1,10,1,2,1,3
"NHC HEALTHCARE, MCMINNVILLE",TN,37110,For profit - Corporation,115,101.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,4,3,1.92168,1.68173,3.6034,0.29289,0,0,0,0,0,0,0
CHRISTIAN CARE CENTER OF UNICOI COUNTY,TN,37650,For profit - Individual,50,48.4,Medicare and Medicaid,N,N,,N,N,Both,Yes,4,4,4,3,2.18753,1.8748,4.06233,0.26574,0,0,0,0,0,0,0
"NHC HEALTHCARE, SPRINGFIELD",TN,37172,For profit - Corporation,107,98.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,4,2,2.22655,1.54645,3.773,0.31564,0,0,1,0,0,0,0
"NHC HEALTHCARE, LEWISBURG",TN,37091,For profit - Limited Liability company,100,79.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,4,4,2.52129,1.65297,4.17426,0.45517,0,0,0,0,2,0,2
"NHC HEALTHCARE, KNOXVILLE",TN,37917,For profit - Corporation,127,95.4,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,2,3,2.23084,1.81288,4.04373,0.27251,1,1,1,1,1,0,1
"NHC HEALTHCARE, ATHENS",TN,37303,For profit - Corporation,86,66.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,4,3,2.62065,1.60156,4.2222,0.32645,1,0,2,0,2,0,2
"NHC HEALTHCARE, PULASKI",TN,38478,For profit - Corporation,102,84.8,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,2,4,3,2.34543,1.61626,3.9617,0.52188,1,0,0,0,1,0,1
SHANNONDALE HEALTH CARE CENTER,TN,37909,Non profit - Corporation,176,101.4,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,3,2,2,5,3.0578,1.66766,4.72546,0.26634,0,0,0,1,0,0,0
"NHC HEALTHCARE, FT SANDERS",TN,37916,For profit - Corporation,160,122.8,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,3,3,4,3,2.07072,1.87898,3.9497,0.19627,0,0,0,0,0,0,0
"NHC HEALTHCARE, MURFREESBORO",TN,37130,For profit - Corporation,181,119.9,Medicare and Medicaid,N,N,,Y,Y,Both,Yes,2,2,4,2,2.40671,1.48546,3.89217,0.25483,0,3,4,0,1,0,1
"NHC HEALTHCARE, COLUMBIA",TN,38401,For profit - Corporation,106,94.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,3,3,4,3,2.00793,1.6496,3.65752,0.45231,0,0,0,0,1,0,1
"NHC HEALTHCARE, COOKEVILLE",TN,38501,For profit - Corporation,104,99.9,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,4,5,3,2.46185,1.63704,4.09889,0.1793,0,0,3,1,0,0,0
"HEALTH CENTER AT STANDIFER PLACE, THE",TN,37421,For profit - Limited Liability company,444,348.6,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,3,5,2,1.64855,1.60276,3.25131,0.10724,0,0,3,0,1,0,1
TREVECCA CENTER FOR REHABILITATION AND HEALING LLC,TN,37210,For profit - Limited Liability company,240,219.7,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,5,1,1.78079,1.60765,3.38843,0.28463,4,7,19,0,0,0,0
WESTMORELAND HEALTH AND REHABILITATION CENTER,TN,37919,Non profit - Corporation,222,116.2,Medicare and Medicaid,N,N,,N,N,Resident,Yes,2,3,4,1,1.46881,1.13074,2.59955,0.16458,0,1,1,0,0,0,0
TENNOVA LAFOLLETTE HEALTH AND REHAB CENTER,TN,37766,For profit - Corporation,98,51.8,Medicare and Medicaid,Y,N,,N,N,Resident,Yes,2,2,3,4,2.02983,1.68914,3.71897,0.24609,0,2,1,0,2,0,2
"NHC HEALTHCARE, SMITHVILLE",TN,37166,For profit - Corporation,114,83.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,5,3,4,2.25785,1.54916,3.80701,0.2193,0,0,1,0,0,0,0
"NHC HEALTHCARE, SCOTT",TN,38464,For profit - Individual,49,53.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,4,1.9867,1.93753,3.92422,0.73293,0,0,0,0,1,0,1
"NHC HEALTHCARE, SOMERVILLE",TN,38068,For profit - Corporation,72,70.3,Medicare and Medicaid,N,N,,N,N,Resident,Yes,5,4,4,5,2.11442,1.96606,4.08048,0.58215,0,0,0,0,0,0,0
ASCENSION LIVING ALEXIAN VILLAGE TENNESSEE,TN,37377,Non profit - Church related,114,79.9,Medicare and Medicaid,N,Y,,N,Y,Resident,Yes,4,3,5,4,1.6838,2.00303,3.68682,0.36229,1,1,0,0,0,0,0
"THE WATERS OF GALLATIN, LLC",TN,37066,For profit - Limited Liability company,124,78.1,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,2,2,5,1,1.93116,1.18241,3.11357,0.25981,0,0,11,0,2,0,2
"NHC HEALTHCARE, SEQUATCHIE",TN,37327,For profit - Corporation,110,86.6,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,5,5,5,4,2.2693,1.63126,3.90056,0.52272,0,0,0,0,0,0,0
"NHC HEALTHCARE, FRANKLIN",TN,37064,For profit - Limited Liability company,80,75.1,Medicare and Medicaid,N,N,,N,N,Resident,Yes,4,4,4,3,2.68374,1.60259,4.28633,0.37532,1,0,3,0,2,0,2
"NHC HEALTHCARE, OAK RIDGE",TN,37831,For profit - Corporation,128,102.2,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,3,5,3,2.16606,1.92141,4.08747,0.26534,0,4,1,0,1,0,1
"NHC HEALTHCARE, SPARTA",TN,38583,For profit - Corporation,90,87.5,Medicare and Medicaid,N,N,,N,Y,Resident,Yes,4,4,3,4,1.85633,1.75298,3.60931,0.39766,0,1,0,1,0,0,0
